employee_id,name,email,password,phone_num,designation,hire_date
e8a17e7b-e403-4834-921b-fb3d48208eaf,Nicholas Russo,heather47@example.net,)rCSK#mgx5,918913218,Manager,2021-04-02
69750d0b-c138-4286-b0c2-2f3a0aa1678f,Connie Johnson,larsonemma@example.org,gN6Jqi@r$Y,7584266565,HR,2020-10-06
962df404-96fe-4a72-84cd-1c2cc21a59e0,Joshua Carlson,nicholashiggins@example.com,&6AziPzQUt,7874714098,Manager,2022-08-22
753e4a0e-9984-4eae-888d-a52e32bff3ee,Megan Rodriguez,krystalrussell@example.net,h0arwjFx%m,6347179481,Sales,2020-12-25
d39e775c-eb82-4717-9725-ca36ba78074c,Jenna Williams,solomonlori@example.com,G40NuRdoP!,1288574430,Sales,2023-03-07
e3317c75-875e-4ebb-9d32-296fe8130d47,Eric Perez,pcopeland@example.org,*kHpJdGB9R,9124019264,Manager,2023-03-31
60a9a240-c113-4250-8381-f1c07afefb3d,Rachel Nielsen,blake36@example.net,xZ2tWUl$F%,1767986629,Developer,2020-09-08
31206c4d-3ee0-412c-bd0a-d38838b3bc33,Erica Obrien,beanashley@example.net,Nq14pEGoN&,1821030782,Manager,2023-12-29
ceb4e98c-83ee-495d-b654-65b6fb9c70b2,Travis Harris,lori36@example.net,@7O7#AzLY9,177371882,HR,2021-12-04
d4602c1c-c07b-47e9-b190-fd066e1d30b7,Diamond Garcia,xcardenas@example.com,XHGUL4d6!9,4346457362,Sales,2020-06-12
ff7d8dd0-af0f-41cd-9191-e707804ebb98,Arthur Torres,lauriehammond@example.com,a!P$8TEym*,9449775304,HR,2022-11-19
5153e9a4-f6e4-46d4-87c0-a0fbc4d1c5ba,Jasmine Pratt,mchavez@example.com,#B!24dIxb@,8415441239,Developer,2020-01-21
783bafea-c9dd-40cc-a65b-dbb8e17b759d,Lisa Davis,sperry@example.net,#F%gIbjqt4,5033421076,HR,2021-02-12
566775b9-1a9f-4d3b-8d89-9b02b05d2d8d,Jessica Hayes,catherinehaley@example.com,)LOFuau6b1,2953002988,Developer,2020-02-13
959142c1-2211-4170-9ca5-c1b334a71340,Christopher Todd,gregoryporter@example.com,s&4PPeY*a+,9979848225,HR,2021-08-01
6b8519b2-fd01-4928-a3f9-8e0090af300b,Julia Meyer,jgarcia@example.net,$mXcbl8h67,7681660577,Manager,2022-11-29
296f60d2-d9b1-4202-a62c-f18a8c113dd3,Angela Vaughn,steven32@example.com,wGe4Cmstd(,2215270584,Sales,2023-03-15
c92befa2-b5d5-4d90-b05f-018d4eadfc2e,Philip Carroll,chernandez@example.net,@8+J!06w8I,5412234682,Manager,2023-02-08
c63f607f-df12-4991-a697-28724e0bbded,Crystal Singh,jacoblarsen@example.net,6TUphkXx)Y,5810942356,Manager,2023-07-24
4fc9fc29-1367-41e2-a082-b7bf79800fd1,Darlene Frank,garcialogan@example.org,IQ^JzBuI_4,6899940364,Developer,2022-02-26
ecc06776-dd3d-4e97-b21c-96e234b85494,Lauren Myers,olivia43@example.com,SS0n(JZq%(,1092440504,Developer,2023-09-29
3c6b9687-bac8-4eae-811e-f1065e5495a5,Thomas Stanton,wshepherd@example.com,PMb^2DVglb,111371648,Developer,2023-02-18
953a600c-d94a-4ff9-b4a4-9d547b451166,Julie Stanley,kristen19@example.com,x0E^s(Ow$e,5304007620,Sales,2020-05-02
54aba2b9-5831-461e-8feb-17fde6a49565,Colleen Davis,natalie48@example.net,$ESAHfz3+6,2097956895,Manager,2021-08-22
938a5b55-d026-483a-aa7e-5fb0f2a92e02,Jacqueline Torres,bianca24@example.org,MkEUXnRk+1,6142737369,Manager,2021-04-17
fbdbf701-aa4f-4202-92f1-772d0a5e3bc7,Ms. Lindsay Mcbride,james72@example.net,W_a8Y*1gwv,2869742232,Sales,2021-02-13
fbd0beac-818d-480e-bdbe-89fe7d78c9b2,Micheal Dennis,russellsmith@example.org,!MA&ul3%h1,1829950794,HR,2024-03-20
fe58ab60-1a45-4fae-8a26-d8c17c21e0e8,Christine Cherry,andrewperez@example.org,^p*N3lVw7B,1745707353,HR,2021-01-01
19ffc2df-bfcd-4146-96ff-ade27d5ffdf5,Melissa King,breanna39@example.com,tiko35JlT#,8273627670,Manager,2020-11-10
29f513ee-45f7-456b-9eb7-58dd9f075886,Trevor Wong,gregg16@example.com,d7DAENeq^A,7270936867,Sales,2023-01-18
4c97c5c3-4cb6-40d0-9155-da39c067238c,Heather Allen,aaron89@example.net,#J4gMFol9U,5473163225,HR,2024-08-05
138e43ad-816e-4a81-adbc-80c0772f6976,Connie Baker,xjohnson@example.org,Fxdk1ZGR!(,2407698674,Sales,2024-05-27
bbb9090f-ea50-40d6-abf9-897e19fc49ff,Crystal Garcia,amyjones@example.org,Jdq2cKXy$9,1472904673,Manager,2020-05-27
99ee7aba-e273-4fda-99d8-386fb8fec08d,Nicole Reed,brian52@example.com,yn35Nwc6*S,4854016929,Manager,2020-07-14
61e99019-0934-48ef-8768-90b34d379155,Jennifer Patel,robertparker@example.org,9bPKMjhH(u,9180354200,Developer,2023-08-31
6059bdf0-1879-4985-aefb-0aa7f347ae16,Jennifer Blake,burnettdavid@example.net,Y3QS(Ki+@b,712748243,Sales,2021-08-16
b1826913-e3c4-48c6-a805-899a3f42cc50,Jamie Mayo,montgomerymichael@example.com,wWd9(BaAN!,5556133774,Developer,2022-12-10
7b708278-fa71-4e07-a6aa-474f5799f42e,Carolyn Patterson,masseyanne@example.com,@x8N3@ain7,3514999239,HR,2024-04-25
8a5de037-b0d4-40f7-8488-61723c55af0c,Matthew Thomas,tiffany79@example.org,@)3IakwtC7,4777070825,Developer,2021-02-21
0ca5bb9e-8c7d-4257-b4fe-6b5ccbf0f33f,Scott Jones,nguyenheather@example.com,&H#8m8BgVF,5435227121,Sales,2024-01-23
180c7771-a2a0-4bf7-9e41-8c27e8fbca14,Laura Brock,monicabrown@example.com,#NFt&&Al^3,1427135915,HR,2022-12-13
aaaad151-fb5d-4e18-87bc-7c9ce675583f,Gina Hamilton,kelly96@example.com,K+@D4nkceW,6666848899,HR,2023-04-21
58fd962b-1fe8-4644-89db-0a5764ca59d7,Stephanie Carrillo,irowe@example.org,#dKyKDow!7,6998792343,HR,2021-09-14
4dbc2c73-4e18-436c-8b34-4e6ace7c0d36,Rachel Williams,wrightjoanna@example.net,&$00Ydqex),7815787927,Developer,2020-12-20
3fb3aceb-e7f0-4727-aae9-93bccada9758,Michael Duncan,jessicasanford@example.net,qPv%8MQv!X,7028198478,Sales,2021-09-15
7e9a4954-b6c5-4846-b127-70272bc5fb31,Katherine Stephens,catherineturner@example.org,#o7H1Z5e)6,3420416380,HR,2021-05-26
dc059cef-61b6-4925-bb66-f82de91cf2bc,Olivia Carroll,kramsey@example.com,_3wWq0kQ7E,1158859587,Sales,2023-05-20
5a83fb60-f21b-45f5-a87f-eece3237a8c6,Jesus Shelton,pattersonrobert@example.org,@cw3La0wx$,8169158760,Sales,2023-10-30
4efa7c1a-1f5e-4888-8928-e5596270ce11,Vanessa Lozano,angela00@example.net,3#yWOA%X#y,4989500223,Sales,2022-09-09
986d3d63-651f-460c-8884-27cd521eaed3,Derek Crawford,wrightdaniel@example.com,_9uKWkvnIv,1608313568,Sales,2020-04-15
70e48a15-7cbd-4a81-9dae-c23ca7217850,George Byrd,nespinoza@example.org,&2EPP&Ta8l,1072135109,Developer,2024-07-27
70c82214-1ffc-4762-b289-d9decbb6d3bc,John Hardy,longjoseph@example.net,L+7Aqlgs(Z,6940184240,Sales,2024-07-21
eba5968d-97f8-4695-9d6a-c739870f5f6e,Paul Schroeder,jessicamarshall@example.com,g_5JCZol#Y,2189674468,Developer,2023-10-21
e034361b-acf1-4745-8543-a41a5a528c49,Jessica Allison,pbarton@example.net,%z#w+4Bj9M,9713323085,Sales,2020-06-30
9f11d36d-2574-467b-8557-48902168bf76,Kimberly Mcpherson,kennedyrachel@example.com,koT!56Ax5d,103332331,Sales,2023-01-03
8031ffdc-d44c-4b68-97b8-0a5c131e7165,Martin Casey,barrettangela@example.net,+(8sSIwhrf,5474219313,HR,2021-06-19
061f6ac6-d0f9-4e34-90b9-66677f6015bb,Robert Johnson,iibarra@example.com,6ZSJ&7AmXE,264463593,HR,2024-06-09
93f38736-b193-4ec8-a822-dd5f5e57a15f,Mr. Keith White,mitchell92@example.org,&n4Cy!TD#2,2589083130,Developer,2020-05-08
6e60c182-7c9f-446f-9a4d-a4e222691794,Jon Martin,whiteheadwilliam@example.net,Qy^^XJFq!8,4453746865,Developer,2021-03-24
a3fbf052-0d45-44bd-9843-0d6ebd68dbbd,George Ramos,lutzcynthia@example.com,^oJ9SKomm&,2385133900,HR,2021-12-07
d9c5ba95-e047-4198-9029-62a430962aff,John Walker,hahnshannon@example.net,n8()8KOu+P,2001642827,HR,2020-11-21
7e75d967-a79e-4922-bd0e-96b6dcf37fae,Ian Smith,kempcurtis@example.com,61BmPAf+(+,3733433052,Manager,2020-06-09
ea6700e6-e893-41d3-8312-c1639b67f8d2,Marc Yang,lhorton@example.org,AIf2jJyA!f,7443694775,HR,2024-07-17
2f39b729-35b8-4119-9125-054c41cc85e1,Dylan Rodriguez,lori54@example.org,gNNQJ+Nj+8,5397200609,Sales,2022-03-13
95b76e46-c069-4c35-b7a0-bc72a514d191,Lindsey Jones,ichristensen@example.org,)Ufw6mAx90,1147389610,Sales,2020-03-13
e2227a45-a93d-4b31-806c-7e2d439626cb,Laura Reeves,francisherman@example.com,#X$DBd2r6J,9003224550,HR,2020-12-13
beed1d7d-a69b-4c46-bec5-00fe6f89365b,Karen Henry,wramirez@example.com,85Eq$(5H!n,2637367700,HR,2020-11-19
3b17da7e-42aa-424c-9bf9-b2304b392fed,Taylor Miller,vschneider@example.net,@9jBuBtkjU,5614781928,HR,2024-04-03
1b89061d-04cb-44f9-9c79-b3674e2dcaec,Jacob Roach,amandamartin@example.net,!4xVja3M!1,6079723782,Sales,2021-12-05
ded8a83c-6b11-4d9b-8bac-26a48091732b,Nicholas Curtis,duffyalyssa@example.org,Pl4)1PPcz4,352373325,Developer,2021-05-08
6571dc5b-d38e-4122-9548-742a1ed87469,Michael Hernandez,scottjohnson@example.com,5k49fRqp(o,923413403,HR,2023-12-04
745af59f-af59-4a65-83ae-3ce7836db18a,Joshua Moore,kirsten16@example.net,yppXwXKl+3,9008522592,HR,2021-11-25
1f14e38e-2662-4845-b08f-6eff9ccdcf30,Jeffrey Hawkins,katherine59@example.org,%h9eHUGxQ+,9289161912,Sales,2023-10-29
dcca943f-c32e-464d-9e64-c4d0fedcfc55,Aaron Franklin,wross@example.com,woTf6TWr*B,8185826192,Developer,2021-07-26
75e4fe11-7919-48b2-ab08-5764eb16ae46,Thomas Black,andrewpacheco@example.net,SJD0Y^Saj!,9091900517,HR,2023-09-20
5866a5f3-1632-4f16-80a9-a341ac14cdd9,Ann Huber,hillemily@example.net,S6_9UYidT$,9352625174,Manager,2022-07-22
a81d3a37-3a0b-4162-92a0-556c2ee9b500,Leah Lewis,ellisonmichael@example.com,((XNLemJ9Q,6530676122,Manager,2022-11-30
c1b0eda0-87f5-4033-9d4f-9dce44005c65,William Marquez,vaughandavid@example.org,S(QJ2JQprD,5831052162,Sales,2024-05-02
cb80555f-e458-4af8-9288-2e58d42f88c4,Beth Ryan,davisjohn@example.net,9!Xv67vK+n,9657387917,Developer,2022-09-24
bccc1e64-c330-4934-8713-ab96f4bd9fc0,Marvin Nguyen,kellydavis@example.net,_Z7B4NPv$U,4969626931,Sales,2024-08-18
0936f7c3-dfbd-4713-a67c-4a3e978533a2,Sarah Dominguez,wagnerryan@example.org,f2fEXz7b+1,2458102526,HR,2020-11-24
d47c19be-6899-47e4-8676-2832ec3dd063,Rachel Roman,ylowe@example.com,(86IPa#64Z,2669536512,HR,2024-01-27
531bbc85-2837-4e0a-baab-60b638006ca5,Melissa Rodriguez,iclark@example.net,e6MnM+2g(k,9872934126,Manager,2024-09-29
0be950b3-013b-4bd3-9b31-fedf5f72aab9,Stephanie Barnes,kmartinez@example.net,B#9W5Yle(m,1263267642,Manager,2023-12-21
827efa8e-aa15-4735-831c-ac5d1f89fa63,Joseph Farmer,cathy73@example.org,@TutShbz1o,3490692955,Manager,2022-05-14
6a7ede73-c510-48af-96a8-caff9e8b84c9,Joshua Harrison III,jenna54@example.com,v(2NtvX7)2,5964896876,Manager,2024-04-12
