employee_id,name,email,phone_num,designation,hire_date
e8a17e7b-e403-4834-921b-fb3d48208eaf,Nicholas Russo,heather47@example.net,918913218,Manager,2021-04-02
69750d0b-c138-4286-b0c2-2f3a0aa1678f,Connie Johnson,larsonemma@example.org,7584266565,HR,2020-10-06
962df404-96fe-4a72-84cd-1c2cc21a59e0,Joshua Carlson,nicholashiggins@example.com,7874714098,Manager,2022-08-22
753e4a0e-9984-4eae-888d-a52e32bff3ee,Megan Rodriguez,krystalrussell@example.net,6347179481,Sales,2020-12-25
d39e775c-eb82-4717-9725-ca36ba78074c,Jenna Williams,solomonlori@example.com,1288574430,Sales,2023-03-07
e3317c75-875e-4ebb-9d32-296fe8130d47,Eric Perez,pcopeland@example.org,9124019264,Manager,2023-03-31
60a9a240-c113-4250-8381-f1c07afefb3d,Rachel Nielsen,blake36@example.net,1767986629,Developer,2020-09-08
31206c4d-3ee0-412c-bd0a-d38838b3bc33,Erica Obrien,beanashley@example.net,1821030782,Manager,2023-12-29
ceb4e98c-83ee-495d-b654-65b6fb9c70b2,Travis Harris,lori36@example.net,177371882,HR,2021-12-04
d4602c1c-c07b-47e9-b190-fd066e1d30b7,Diamond Garcia,xcardenas@example.com,4346457362,Sales,2020-06-12
ff7d8dd0-af0f-41cd-9191-e707804ebb98,Arthur Torres,lauriehammond@example.com,9449775304,HR,2022-11-19
5153e9a4-f6e4-46d4-87c0-a0fbc4d1c5ba,Jasmine Pratt,mchavez@example.com,8415441239,Developer,2020-01-21
783bafea-c9dd-40cc-a65b-dbb8e17b759d,Lisa Davis,sperry@example.net,5033421076,HR,2021-02-12
566775b9-1a9f-4d3b-8d89-9b02b05d2d8d,Jessica Hayes,catherinehaley@example.com,2953002988,Developer,2020-02-13
959142c1-2211-4170-9ca5-c1b334a71340,Christopher Todd,gregoryporter@example.com,9979848225,HR,2021-08-01
6b8519b2-fd01-4928-a3f9-8e0090af300b,Julia Meyer,jgarcia@example.net,7681660577,Manager,2022-11-29
296f60d2-d9b1-4202-a62c-f18a8c113dd3,Angela Vaughn,steven32@example.com,2215270584,Sales,2023-03-15
c92befa2-b5d5-4d90-b05f-018d4eadfc2e,Philip Carroll,chernandez@example.net,5412234682,Manager,2023-02-08
c63f607f-df12-4991-a697-28724e0bbded,Crystal Singh,jacoblarsen@example.net,5810942356,Manager,2023-07-24
4fc9fc29-1367-41e2-a082-b7bf79800fd1,Darlene Frank,garcialogan@example.org,6899940364,Developer,2022-02-26
